Geneid	Chr	Start	End	Strand	Length	unmapped_Ac/bam/sorted/VG1_S1
PFLU_0120	NC_012660.1	131394	132338	-	945	6
PFLU_0121	NC_012660.1	132328	133092	-	765	22
PFLU_0122	NC_012660.1	133468	134163	-	696	34
PFLU_0123	NC_012660.1	134475	135365	+	891	39
PFLU_0124	NC_012660.1	135377	136405	+	1029	11
PFLU_0125	NC_012660.1	136410	137258	+	849	4
PFLU_0126	NC_012660.1	137273	138118	+	846	7
PFLU_0127	NC_012660.1	138221	138844	+	624	30
PFLU_0128	NC_012660.1	138900	139817	+	918	23
PFLU_0129	NC_012660.1	140045	141577	+	1533	9
PFLU_0130	NC_012660.1	141596	142651	+	1056	5
PFLU_0131	NC_012660.1	142651	144093	+	1443	11
PFLU_0132	NC_012660.1	144125	144826	-	702	11
PFLU_0133	NC_012660.1	144826	146991	-	2166	82
PFLU_0134	NC_012660.1	147171	148772	+	1602	80
PFLU_0135	NC_012660.1	148809	149060	+	252	32
PFLU_0136	NC_012660.1	149413	149847	+	435	35
PFLU_0137	NC_012660.1	149847	151922	+	2076	67
PFLU_0138	NC_012660.1	151922	152128	+	207	17
PFLU_0139	NC_012660.1	152128	153015	+	888	42
PFLU_0140	NC_012660.1	153015	154454	+	1440	32
PFLU_0141	NC_012660.1	154518	155168	+	651	121
PFLU_0142	NC_012660.1	155318	156811	+	1494	252
PFLU_0143	NC_012660.1	157115	159592	+	2478	433
PFLU_0144	NC_012660.1	159608	161602	+	1995	204
PFLU_0145	NC_012660.1	161608	162945	+	1338	125
PFLU_0146	NC_012660.1	162945	163430	+	486	47
PFLU_0147	NC_012660.1	163810	165531	+	1722	113
PFLU_0148	NC_012660.1	165559	173757	+	8199	361
PFLU_0148A	NC_012660.1	174227	174913	+	687	62
PFLU_0149	NC_012660.1	175182	175997	+	816	45
PFLU_0150	NC_012660.1	176426	176821	+	396	27
PFLU_0151	NC_012660.1	176824	176955	+	132	3
PFLU_0152	NC_012660.1	176984	177430	+	447	36
PFLU_0153	NC_012660.1	177524	178024	+	501	25
PFLU_0154	NC_012660.1	178328	178852	+	525	16
PFLU_0155	NC_012660.1	178852	179265	+	414	16
PFLU_0156	NC_012660.1	179301	179771	+	471	29
PFLU_0157	NC_012660.1	179782	180069	+	288	15
PFLU_0158	NC_012660.1	180103	180213	+	111	5
PFLU_0159	NC_012660.1	180321	180905	-	585	25
PFLU_0160	NC_012660.1	180925	181533	-	609	12
PFLU_0161	NC_012660.1	181805	182383	+	579	63
PFLU_0162	NC_012660.1	182426	183103	+	678	51
PFLU_0163	NC_012660.1	183136	183495	+	360	32
PFLU_0164	NC_012660.1	183495	184142	+	648	44
PFLU_0165	NC_012660.1	184234	185886	+	1653	121
PFLU_0166	NC_012660.1	186028	186597	+	570	58
PFLU_0167	NC_012660.1	186597	187187	+	591	17
PFLU_0170	NC_012660.1	189178	190401	+	1224	281
PFLU_0171	NC_012660.1	190401	192230	+	1830	295
PFLU_0172	NC_012660.1	192867	195038	+	2172	190
PFLU_0173	NC_012660.1	195687	196526	-	840	22
PFLU_0174	NC_012660.1	196628	199513	-	2886	43
PFLU_0175	NC_012660.1	199513	199782	-	270	2
PFLU_0176	NC_012660.1	199782	200063	-	282	5
PFLU_0177	NC_012660.1	200063	200545	-	483	40
PFLU_0178	NC_012660.1	200596	200940	-	345	15
PFLU_0179	NC_012660.1	201771	203003	-	1233	197
PFLU_0180	NC_012660.1	203618	205057	+	1440	489
PFLU_0181	NC_012660.1	205246	206520	+	1275	379
PFLU_0182	NC_012660.1	206663	207868	+	1206	92
PFLU_0183	NC_012660.1	207937	208941	-	1005	103
PFLU_0184	NC_012660.1	209127	210308	-	1182	400
PFLU_0185	NC_012660.1	210397	212382	+	1986	124
PFLU_0186	NC_012660.1	212687	212866	+	180	27
PFLU_0187	NC_012660.1	212944	213951	+	1008	99
PFLU_0188	NC_012660.1	214198	215013	+	816	50
PFLU_0189	NC_012660.1	215030	215899	+	870	29
PFLU_0190	NC_012660.1	215906	216883	+	978	83
PFLU_0191	NC_012660.1	216956	217480	-	525	30
PFLU_0192	NC_012660.1	217564	218247	+	684	54
PFLU_0193	NC_012660.1	218248	218655	-	408	26
PFLU_0194	NC_012660.1	218685	219155	-	471	15
PFLU_0196	NC_012660.1	219752	220753	-	1002	38
PFLU_0197	NC_012660.1	220855	221931	+	1077	34
PFLU_0198	NC_012660.1	221909	223516	-	1608	10
PFLU_0199	NC_012660.1	223536	224348	-	813	1
PFLU_0200	NC_012660.1	224348	225937	-	1590	7
PFLU_0201	NC_012660.1	226226	227224	+	999	3
PFLU_0202	NC_012660.1	227284	228201	-	918	10
PFLU_0203	NC_012660.1	228381	229283	+	903	10
PFLU_0204	NC_012660.1	229390	230994	-	1605	11
PFLU_0205	NC_012660.1	231098	232039	-	942	9
PFLU_0206	NC_012660.1	232195	234507	+	2313	4
PFLU_0207	NC_012660.1	234484	235668	-	1185	9
PFLU_0208	NC_012660.1	235777	236640	+	864	8
PFLU_0209	NC_012660.1	236868	237680	+	813	20
PFLU_0210	NC_012660.1	237738	238454	+	717	18
PFLU_0211	NC_012660.1	238459	238857	+	399	41
PFLU_0213	NC_012660.1	239190	239768	+	579	33
PFLU_0214	NC_012660.1	239821	240738	+	918	32
PFLU_0215	NC_012660.1	240892	241671	+	780	154
PFLU_0218	NC_012660.1	242638	242928	-	291	64
PFLU_0219	NC_012660.1	242919	243188	-	270	100
PFLU_0227	NC_012660.1	246614	247276	+	663	29
PFLU_0228	NC_012660.1	247260	247916	+	657	4
PFLU_0229	NC_012660.1	247916	248689	+	774	9
PFLU_0230	NC_012660.1	248689	249540	+	852	5
PFLU_0231	NC_012660.1	249645	250802	-	1158	28
PFLU_0232	NC_012660.1	251059	252138	+	1080	48
PFLU_0233	NC_012660.1	252138	253205	+	1068	25
PFLU_0234	NC_012660.1	253205	256267	+	3063	173
PFLU_0235	NC_012660.1	256515	258689	+	2175	22
PFLU_0236	NC_012660.1	258812	259435	-	624	31
PFLU_0237	NC_012660.1	259479	260120	-	642	4
PFLU_0238	NC_012660.1	260113	261225	-	1113	1
PFLU_0239	NC_012660.1	261225	262037	-	813	11
PFLU_0240	NC_012660.1	262122	263471	-	1350	18
PFLU_0241	NC_012660.1	263474	264664	-	1191	3
PFLU_0242	NC_012660.1	264692	265930	-	1239	30
PFLU_0243	NC_012660.1	266121	266912	-	792	5
PFLU_0244	NC_012660.1	267260	268003	-	744	106
PFLU_0245	NC_012660.1	268010	268672	-	663	69
PFLU_0246	NC_012660.1	268675	269466	-	792	217
PFLU_0247	NC_012660.1	269749	270741	-	993	116
PFLU_0248	NC_012660.1	270878	271831	+	954	40
PFLU_0249	NC_012660.1	272192	274189	+	1998	88
PFLU_0250	NC_012660.1	274371	275723	+	1353	13
PFLU_0251	NC_012660.1	275835	276869	+	1035	97
PFLU_0252	NC_012660.1	276991	277824	-	834	7
PFLU_0253	NC_012660.1	277839	278672	-	834	5
PFLU_0254	NC_012660.1	278672	279448	-	777	15
PFLU_0255	NC_012660.1	279469	280443	-	975	25
PFLU_0256	NC_012660.1	280716	282296	-	1581	357
PFLU_0257	NC_012660.1	282514	282894	-	381	21
PFLU_0258	NC_012660.1	282897	285218	-	2322	287
PFLU_0259	NC_012660.1	285576	286313	+	738	301
PFLU_0260	NC_012660.1	286433	287743	+	1311	120
PFLU_0261	NC_012660.1	287820	288722	-	903	86
PFLU_0262	NC_012660.1	288722	289201	-	480	18
PFLU_0263	NC_012660.1	289218	289994	-	777	79
PFLU_0264	NC_012660.1	290111	290515	+	405	169
PFLU_0265	NC_012660.1	290636	291436	-	801	117
PFLU_0266	NC_012660.1	291562	292461	+	900	171
PFLU_0267	NC_012660.1	292644	294182	+	1539	391
PFLU_0268	NC_012660.1	294198	294335	+	138	24
PFLU_0269	NC_012660.1	294473	295171	-	699	64
PFLU_0270	NC_012660.1	295462	296058	-	597	73
PFLU_0271	NC_012660.1	296061	296228	-	168	114
PFLU_0272	NC_012660.1	296405	297577	+	1173	95
PFLU_0274	NC_012660.1	297864	299804	+	1941	87
PFLU_0275	NC_012660.1	299936	300787	+	852	55
PFLU_0276	NC_012660.1	300852	301280	+	429	106
PFLU_0277	NC_012660.1	301509	301985	-	477	32
PFLU_0278	NC_012660.1	302356	304701	-	2346	202
PFLU_0279	NC_012660.1	304701	305537	-	837	38
PFLU_0280	NC_012660.1	305638	306522	-	885	51
PFLU_0281	NC_012660.1	306655	307092	+	438	294
PFLU_0282	NC_012660.1	307144	307803	-	660	68
PFLU_0283	NC_012660.1	307891	308454	+	564	81
PFLU_0284	NC_012660.1	308454	309287	+	834	102
PFLU_0285	NC_012660.1	309360	309812	-	453	34
PFLU_0286	NC_012660.1	309842	311215	-	1374	16
PFLU_0287	NC_012660.1	311215	313020	-	1806	48
PFLU_0288	NC_012660.1	313060	313926	-	867	66
PFLU_0289	NC_012660.1	313926	314468	-	543	132
PFLU_0290	NC_012660.1	314468	315340	-	873	159
PFLU_0291	NC_012660.1	315340	316419	-	1080	212
PFLU_0292	NC_012660.1	316571	319477	+	2907	179
PFLU_0293	NC_012660.1	319602	320705	+	1104	108
PFLU_0294	NC_012660.1	320900	321154	+	255	68
PFLU_0295	NC_012660.1	321225	323309	-	2085	102
PFLU_0296	NC_012660.1	323721	325019	+	1299	547
PFLU_0299	NC_012660.1	326111	326515	+	405	62
PFLU_0300	NC_012660.1	327255	328286	+	1032	213
PFLU_0301	NC_012660.1	328286	330502	+	2217	106
PFLU_0302	NC_012660.1	330502	332766	+	2265	150
PFLU_0303	NC_012660.1	332766	333959	+	1194	91
PFLU_0304	NC_012660.1	333944	337780	+	3837	236
PFLU_0305	NC_012660.1	337800	338462	+	663	99
PFLU_0306	NC_012660.1	338465	339127	+	663	54
PFLU_0307	NC_012660.1	339148	340560	+	1413	63
PFLU_0308	NC_012660.1	340576	341697	+	1122	52
PFLU_0309	NC_012660.1	341763	342809	+	1047	304
PFLU_0310	NC_012660.1	343057	344244	-	1188	62
PFLU_0311	NC_012660.1	344225	344911	-	687	72
PFLU_0312	NC_012660.1	344914	345603	-	690	36
PFLU_0313	NC_012660.1	345681	346430	-	750	410
PFLU_0314	NC_012660.1	346447	347217	-	771	380
PFLU_0315	NC_012660.1	347772	349160	+	1389	692
PFLU_0316	NC_012660.1	349285	349695	-	411	79
PFLU_0317	NC_012660.1	349702	350652	-	951	23
PFLU_0318	NC_012660.1	350826	351788	+	963	19
PFLU_0319	NC_012660.1	351879	353468	+	1590	135
PFLU_0320	NC_012660.1	353561	353833	+	273	61
PFLU_0321	NC_012660.1	353986	354540	+	555	56
PFLU_0322	NC_012660.1	354812	355081	-	270	53
PFLU_0323	NC_012660.1	355081	356145	-	1065	99
PFLU_0324	NC_012660.1	356145	358352	-	2208	268
PFLU_0325	NC_012660.1	358677	360335	+	1659	333
PFLU_0327	NC_012660.1	360640	361230	+	591	179
PFLU_0328	NC_012660.1	361233	361868	+	636	120
PFLU_0329	NC_012660.1	361872	362126	+	255	21
PFLU_0330	NC_012660.1	362169	362903	+	735	103
PFLU_0331	NC_012660.1	362916	363683	+	768	79
PFLU_0332	NC_012660.1	363753	364505	+	753	36
PFLU_0333	NC_012660.1	364515	366104	-	1590	41
PFLU_0334	NC_012660.1	366169	366954	-	786	15
PFLU_0335	NC_012660.1	366959	368272	-	1314	139
PFLU_0336	NC_012660.1	368306	369598	-	1293	132
PFLU_0337	NC_012660.1	369799	371322	-	1524	258
PFLU_0338	NC_012660.1	371471	371884	+	414	57
PFLU_0339	NC_012660.1	371889	372140	+	252	59
PFLU_0340	NC_012660.1	372183	372659	+	477	183
PFLU_0341	NC_012660.1	372785	373237	-	453	43
PFLU_0342	NC_012660.1	373236	373673	+	438	24
PFLU_0343	NC_012660.1	374212	375645	-	1434	75
PFLU_0344	NC_012660.1	375645	376727	-	1083	64
PFLU_0345	NC_012660.1	377026	377448	-	423	15
PFLU_0346	NC_012660.1	377529	378062	-	534	50
PFLU_0347	NC_012660.1	378511	378744	+	234	8
PFLU_0348	NC_012660.1	378827	380230	-	1404	989
PFLU_0349	NC_012660.1	380565	382016	+	1452	599
PFLU_0350	NC_012660.1	382159	383976	+	1818	951
PFLU_0351	NC_012660.1	384209	384640	-	432	10
PFLU_0352	NC_012660.1	384880	387327	+	2448	271
PFLU_0353	NC_012660.1	387490	391011	+	3522	86
PFLU_0354	NC_012660.1	391011	392363	+	1353	30
PFLU_0355	NC_012660.1	392475	393482	+	1008	293
PFLU_0356	NC_012660.1	393662	393913	+	252	60
PFLU_0357	NC_012660.1	393947	394513	+	567	150
PFLU_0358	NC_012660.1	394649	396010	-	1362	63
PFLU_0359	NC_012660.1	396119	396865	+	747	75
PFLU_0360	NC_012660.1	396865	397422	+	558	20
PFLU_0361	NC_012660.1	397832	399499	+	1668	161
PFLU_0362	NC_012660.1	399581	401023	+	1443	68
PFLU_0363	NC_012660.1	401096	402058	+	963	37
PFLU_0364	NC_012660.1	402133	402981	+	849	53
PFLU_0365	NC_012660.1	402981	403802	+	822	49
PFLU_0366	NC_012660.1	403943	405454	+	1512	39
PFLU_0367	NC_012660.1	405504	407039	+	1536	81
PFLU_0368	NC_012660.1	407244	408650	+	1407	58
PFLU_0369	NC_012660.1	408666	409871	+	1206	35
PFLU_0370	NC_012660.1	409887	410684	+	798	59
PFLU_0371	NC_012660.1	411002	411970	+	969	205
PFLU_0372	NC_012660.1	411970	412404	+	435	60
PFLU_0373	NC_012660.1	412735	414408	+	1674	508
PFLU_0374	NC_012660.1	414404	416971	+	2568	481
PFLU_0375	NC_012660.1	417160	417957	+	798	7
PFLU_0376	NC_012660.1	418175	418975	+	801	135
PFLU_0377	NC_012660.1	419016	419972	+	957	57
PFLU_0378	NC_012660.1	419968	420699	+	732	39
PFLU_0379	NC_012660.1	420899	422803	-	1905	19
PFLU_0380	NC_012660.1	422934	424847	-	1914	46
PFLU_0381	NC_012660.1	424958	425662	-	705	43
PFLU_0382	NC_012660.1	425662	426450	-	789	121
PFLU_0383	NC_012660.1	426450	426851	-	402	33
PFLU_0384	NC_012660.1	426865	427140	-	276	69
PFLU_0385	NC_012660.1	427169	427498	-	330	85
PFLU_0386	NC_012660.1	427504	427893	-	390	103
PFLU_0387	NC_012660.1	427938	429539	-	1602	196
PFLU_0388	NC_012660.1	429539	430159	-	621	51
PFLU_0389	NC_012660.1	430162	430929	-	768	223
PFLU_0390	NC_012660.1	431074	431346	+	273	53
PFLU_0391	NC_012660.1	431455	431874	+	420	347
PFLU_0392	NC_012660.1	431890	432834	+	945	1064
PFLU_0393	NC_012660.1	432889	433509	-	621	90
PFLU_0394	NC_012660.1	433540	435219	-	1680	165
PFLU_0395	NC_012660.1	435311	436153	-	843	91
PFLU_0396	NC_012660.1	436302	437978	-	1677	237
PFLU_0397	NC_012660.1	438231	438605	-	375	21
PFLU_0398	NC_012660.1	438757	440091	-	1335	115
PFLU_0399	NC_012660.1	440132	440659	-	528	100
PFLU_0400	NC_012660.1	440920	441618	-	699	73
PFLU_0401	NC_012660.1	441623	443356	-	1734	245
PFLU_0402	NC_012660.1	443579	445795	-	2217	70
PFLU_0403	NC_012660.1	446022	446252	+	231	499
PFLU_0404	NC_012660.1	446288	447073	+	786	65
PFLU_0405	NC_012660.1	447258	448523	+	1266	515
PFLU_0406	NC_012660.1	448744	451203	-	2460	257
PFLU_0408	NC_012660.1	452071	452622	+	552	192
PFLU_0409	NC_012660.1	452622	453584	+	963	25
PFLU_0411	NC_012660.1	454987	455502	+	516	132
PFLU_0412	NC_012660.1	455631	456728	+	1098	463
PFLU_0413	NC_012660.1	456741	458291	+	1551	329
PFLU_0414	NC_012660.1	458646	463088	+	4443	481
PFLU_0415	NC_012660.1	463124	464539	+	1416	120
PFLU_0416	NC_012660.1	464786	465850	+	1065	116
PFLU_0417	NC_012660.1	465977	467248	-	1272	22
PFLU_0418	NC_012660.1	467373	468263	+	891	11
PFLU_0419	NC_012660.1	468442	468882	-	441	26
PFLU_0420	NC_012660.1	468912	470135	-	1224	43
PFLU_0421	NC_012660.1	470138	470863	-	726	24
PFLU_0422	NC_012660.1	470863	471321	-	459	20
PFLU_0423	NC_012660.1	471321	472484	-	1164	18
PFLU_0424	NC_012660.1	472484	472963	-	480	7
PFLU_0425	NC_012660.1	472963	473709	-	747	16
PFLU_0426	NC_012660.1	473709	474953	-	1245	38
PFLU_0427	NC_012660.1	474990	477299	-	2310	45
PFLU_0428	NC_012660.1	477292	477861	-	570	21
PFLU_0429	NC_012660.1	477990	478412	-	423	11
PFLU_0430	NC_012660.1	478408	479946	-	1539	25
PFLU_0433	NC_012660.1	481749	483416	-	1668	28
PFLU_0434	NC_012660.1	483416	483958	-	543	31
PFLU_0435	NC_012660.1	483958	484209	-	252	9
PFLU_0436	NC_012660.1	484222	484488	-	267	20
PFLU_0437	NC_012660.1	484469	485278	-	810	30
PFLU_0438	NC_012660.1	485257	485973	-	717	40
PFLU_0439	NC_012660.1	486322	487089	+	768	208
PFLU_0440	NC_012660.1	487489	487707	+	219	48
PFLU_0441	NC_012660.1	487761	488192	-	432	27
PFLU_0442	NC_012660.1	488429	488722	+	294	99
PFLU_0443	NC_012660.1	488722	489120	+	399	84
PFLU_0444	NC_012660.1	489131	490591	-	1461	105
PFLU_0445	NC_012660.1	490643	494023	-	3381	207
PFLU_0446	NC_012660.1	494077	495816	-	1740	270
PFLU_0447	NC_012660.1	496154	497776	-	1623	34
PFLU_0448	NC_012660.1	498054	498281	+	228	18
PFLU_0449	NC_012660.1	498281	498571	+	291	19
PFLU_0450	NC_012660.1	498574	500373	-	1800	84
PFLU_0451	NC_012660.1	500581	504531	-	3951	751
PFLU_0452	NC_012660.1	504992	506473	+	1482	398
PFLU_0453	NC_012660.1	506681	508702	+	2022	16
PFLU_0454	NC_012660.1	508715	509401	+	687	3
PFLU_0455	NC_012660.1	509393	510667	-	1275	19
PFLU_0456	NC_012660.1	510841	511674	+	834	55
PFLU_0457	NC_012660.1	511841	512485	-	645	92
PFLU_0458	NC_012660.1	512562	515243	-	2682	158
PFLU_0459	NC_012660.1	515562	517208	-	1647	627
PFLU_0460	NC_012660.1	517223	519865	-	2643	1821
PFLU_0461	NC_012660.1	520249	523185	+	2937	544
PFLU_0462	NC_012660.1	523243	524274	+	1032	127
PFLU_0463	NC_012660.1	524279	525337	+	1059	49
PFLU_0464	NC_012660.1	525340	526461	+	1122	78
PFLU_0465	NC_012660.1	526461	527264	+	804	27
PFLU_0466	NC_012660.1	527267	527998	+	732	56
PFLU_0467	NC_012660.1	527998	528747	+	750	37
PFLU_0468	NC_012660.1	528750	530198	+	1449	66
PFLU_0469	NC_012660.1	530588	531565	+	978	9
PFLU_0471	NC_012660.1	531878	532801	+	924	4
PFLU_0472	NC_012660.1	532814	534199	-	1386	23
PFLU_0473	NC_012660.1	534278	536380	-	2103	25
PFLU_0474	NC_012660.1	536553	536927	+	375	39
PFLU_0475	NC_012660.1	537073	538827	+	1755	552
PFLU_0476	NC_012660.1	538831	539724	+	894	116
PFLU_0477	NC_012660.1	539697	541121	+	1425	135
PFLU_0478	NC_012660.1	541184	542329	+	1146	137
PFLU_0479	NC_012660.1	542329	543207	+	879	97
PFLU_0480	NC_012660.1	543268	545220	-	1953	194
PFLU_0481	NC_012660.1	545287	547089	+	1803	288
PFLU_0482	NC_012660.1	547362	548783	+	1422	263
PFLU_0483	NC_012660.1	548779	549702	+	924	116
PFLU_0485	NC_012660.1	550483	551439	-	957	85
PFLU_0486	NC_012660.1	551484	552293	-	810	112
PFLU_0487	NC_012660.1	552293	553465	-	1173	71
PFLU_0488	NC_012660.1	553524	553856	-	333	10
PFLU_0489	NC_012660.1	553959	554846	+	888	12
PFLU_0490	NC_012660.1	554873	556147	+	1275	84
PFLU_0491	NC_012660.1	556276	557712	-	1437	137
PFLU_0492	NC_012660.1	558161	560062	+	1902	80
PFLU_0493	NC_012660.1	560228	561514	+	1287	19
PFLU_0494	NC_012660.1	561489	562232	-	744	97
PFLU_0495	NC_012660.1	562426	563040	+	615	66
PFLU_0496	NC_012660.1	563034	563480	+	447	61
PFLU_0497	NC_012660.1	563600	564394	+	795	88
PFLU_0498	NC_012660.1	564604	565209	+	606	129
PFLU_0499	NC_012660.1	565258	567159	+	1902	250
PFLU_0500	NC_012660.1	567162	568154	+	993	85
PFLU_0501	NC_012660.1	568231	570492	+	2262	417
PFLU_0502	NC_012660.1	570669	571379	+	711	401
PFLU_0503	NC_012660.1	571509	573035	-	1527	231
PFLU_0504	NC_012660.1	573169	574380	+	1212	99
PFLU_0505	NC_012660.1	574509	575366	-	858	104
PFLU_0506	NC_012660.1	575386	576198	-	813	152
PFLU_0507	NC_012660.1	576259	577791	-	1533	158
PFLU_0508	NC_012660.1	577958	578806	+	849	108
PFLU_0509	NC_012660.1	578813	579829	+	1017	77
PFLU_0510	NC_012660.1	579899	580291	-	393	58
PFLU_0511	NC_012660.1	580581	581609	-	1029	92
PFLU_0512	NC_012660.1	581718	582257	+	540	70
