Geneid	Chr	Start	End	Strand	Length	WT3_S11
PFLU_0039	NC_012660.1	41398	41610	+	213	579
PFLU_0040	NC_012660.1	41729	41953	+	225	621
PFLU_0041	NC_012660.1	42111	43109	-	999	324
PFLU_0042	NC_012660.1	43328	43756	+	429	496
PFLU_0043	NC_012660.1	43967	44203	+	237	78
PFLU_0044	NC_012660.1	44210	44629	-	420	281
PFLU_0045	NC_012660.1	44773	45813	+	1041	79
PFLU_0046	NC_012660.1	45904	46560	-	657	61
PFLU_0047	NC_012660.1	46560	47099	-	540	77
PFLU_0048	NC_012660.1	47193	49250	+	2058	548
PFLU_0049	NC_012660.1	49250	49522	+	273	216
PFLU_0050	NC_012660.1	49602	50264	-	663	11
PFLU_0051	NC_012660.1	50529	51278	+	750	56
PFLU_0052	NC_012660.1	51284	53065	+	1782	82
PFLU_0053	NC_012660.1	53075	54376	+	1302	322
PFLU_0054	NC_012660.1	54461	55516	+	1056	201
PFLU_0055	NC_012660.1	55771	56475	+	705	543
PFLU_0056	NC_012660.1	56564	58108	+	1545	256
PFLU_0057	NC_012660.1	58183	58827	-	645	237
PFLU_0058	NC_012660.1	59196	60320	+	1125	1729
PFLU_0059	NC_012660.1	60382	61965	+	1584	820
PFLU_0060	NC_012660.1	62107	62664	+	558	268
PFLU_0061	NC_012660.1	62703	63587	+	885	160
PFLU_0062	NC_012660.1	63600	63800	-	201	98
PFLU_0063	NC_012660.1	63829	64590	+	762	97
PFLU_0064	NC_012660.1	64559	65140	+	582	99
PFLU_0065	NC_012660.1	65154	66230	+	1077	248
PFLU_0066	NC_012660.1	66221	67117	+	897	338
PFLU_0067	NC_012660.1	67117	67749	+	633	103
PFLU_0068	NC_012660.1	67899	68666	-	768	120
PFLU_0069	NC_012660.1	68720	69391	-	672	61
PFLU_0070	NC_012660.1	69394	70398	-	1005	68
PFLU_0071	NC_012660.1	70664	72802	+	2139	1094
PFLU_0072	NC_012660.1	72874	73590	-	717	76
PFLU_0073	NC_012660.1	73631	74416	-	786	387
PFLU_0074	NC_012660.1	74412	75194	-	783	204
PFLU_0075	NC_012660.1	75197	75676	-	480	80
PFLU_0076	NC_012660.1	75735	76661	+	927	111
PFLU_0077	NC_012660.1	76792	77742	-	951	301
PFLU_0078	NC_012660.1	77802	78089	-	288	108
PFLU_0079	NC_012660.1	78152	80938	+	2787	536
PFLU_0080	NC_012660.1	81215	81853	-	639	456
PFLU_0081	NC_012660.1	82046	82345	+	300	1061
PFLU_0082	NC_012660.1	82383	83006	+	624	374
PFLU_0083	NC_012660.1	83178	83810	+	633	418
PFLU_0084	NC_012660.1	83824	84699	+	876	452
PFLU_0085	NC_012660.1	84699	86750	+	2052	149
PFLU_0086	NC_012660.1	86842	87651	+	810	190
PFLU_0087	NC_012660.1	87717	89501	-	1785	404
PFLU_0088	NC_012660.1	89515	90858	-	1344	1618
PFLU_0089	NC_012660.1	91238	91519	+	282	4372
PFLU_0090	NC_012660.1	91601	91762	+	162	3153
PFLU_0091	NC_012660.1	91768	92232	+	465	3149
PFLU_0093	NC_012660.1	93000	94328	+	1329	72
PFLU_0094	NC_012660.1	94430	95656	+	1227	139
PFLU_0095	NC_012660.1	95755	96363	-	609	39
PFLU_0096	NC_012660.1	96363	97298	-	936	71
PFLU_0097	NC_012660.1	97303	98103	-	801	34
PFLU_0098	NC_012660.1	98103	99248	-	1146	41
PFLU_0099	NC_012660.1	99305	100333	-	1029	85
PFLU_0100	NC_012660.1	100409	101788	-	1380	97
PFLU_0101	NC_012660.1	101849	103504	-	1656	451
PFLU_0102	NC_012660.1	103911	104675	-	765	373
PFLU_0103	NC_012660.1	104747	106051	-	1305	53
PFLU_0104	NC_012660.1	106432	108390	-	1959	104
PFLU_0105	NC_012660.1	108390	108707	-	318	165
PFLU_0106	NC_012660.1	108749	109054	-	306	47
PFLU_0107	NC_012660.1	109161	109478	-	318	41
PFLU_0108	NC_012660.1	109618	109800	-	183	5
PFLU_0109	NC_012660.1	110067	110279	-	213	75
PFLU_0110	NC_012660.1	110601	112091	-	1491	111
PFLU_0111	NC_012660.1	112274	113707	-	1434	95
PFLU_0112	NC_012660.1	113710	114027	-	318	7
PFLU_0113	NC_012660.1	114046	115164	-	1119	80
PFLU_0114	NC_012660.1	115620	116516	-	897	61
PFLU_0115	NC_012660.1	116675	117853	+	1179	275
PFLU_0116	NC_012660.1	117869	119086	+	1218	228
PFLU_0117	NC_012660.1	125625	127502	+	1878	62
PFLU_0118	NC_012660.1	127548	128003	-	456	10
PFLU_0119	NC_012660.1	128026	131394	-	3369	190
PFLU_0120	NC_012660.1	131394	132338	-	945	17
PFLU_0121	NC_012660.1	132328	133092	-	765	12
PFLU_0122	NC_012660.1	133468	134163	-	696	50
PFLU_0123	NC_012660.1	134475	135365	+	891	40
PFLU_0124	NC_012660.1	135377	136405	+	1029	22
PFLU_0125	NC_012660.1	136410	137258	+	849	12
PFLU_0126	NC_012660.1	137273	138118	+	846	8
PFLU_0127	NC_012660.1	138221	138844	+	624	32
PFLU_0128	NC_012660.1	138900	139817	+	918	30
PFLU_0129	NC_012660.1	140045	141577	+	1533	39
PFLU_0130	NC_012660.1	141596	142651	+	1056	25
PFLU_0131	NC_012660.1	142651	144093	+	1443	43
PFLU_0132	NC_012660.1	144125	144826	-	702	48
PFLU_0133	NC_012660.1	144826	146991	-	2166	172
PFLU_0134	NC_012660.1	147171	148772	+	1602	357
PFLU_0135	NC_012660.1	148809	149060	+	252	96
PFLU_0136	NC_012660.1	149413	149847	+	435	150
PFLU_0137	NC_012660.1	149847	151922	+	2076	114
PFLU_0138	NC_012660.1	151922	152128	+	207	16
PFLU_0139	NC_012660.1	152128	153015	+	888	126
PFLU_0140	NC_012660.1	153015	154454	+	1440	90
PFLU_0141	NC_012660.1	154518	155168	+	651	836
PFLU_0142	NC_012660.1	155318	156811	+	1494	360
PFLU_0143	NC_012660.1	157115	159592	+	2478	134
PFLU_0144	NC_012660.1	159608	161602	+	1995	85
PFLU_0145	NC_012660.1	161608	162945	+	1338	69
PFLU_0146	NC_012660.1	162945	163430	+	486	44
PFLU_0147	NC_012660.1	163810	165531	+	1722	170
PFLU_0148	NC_012660.1	165559	173757	+	8199	719
PFLU_0148A	NC_012660.1	174227	174913	+	687	25
PFLU_0149	NC_012660.1	175182	175997	+	816	244
PFLU_0150	NC_012660.1	176426	176821	+	396	24
PFLU_0151	NC_012660.1	176824	176955	+	132	2
PFLU_0152	NC_012660.1	176984	177430	+	447	21
PFLU_0153	NC_012660.1	177524	178024	+	501	19
PFLU_0154	NC_012660.1	178328	178852	+	525	22
PFLU_0155	NC_012660.1	178852	179265	+	414	13
PFLU_0156	NC_012660.1	179301	179771	+	471	22
PFLU_0157	NC_012660.1	179782	180069	+	288	9
PFLU_0158	NC_012660.1	180103	180213	+	111	2
PFLU_0159	NC_012660.1	180321	180905	-	585	43
PFLU_0160	NC_012660.1	180925	181533	-	609	13
PFLU_0161	NC_012660.1	181805	182383	+	579	35
PFLU_0162	NC_012660.1	182426	183103	+	678	82
PFLU_0163	NC_012660.1	183136	183495	+	360	10
PFLU_0164	NC_012660.1	183495	184142	+	648	41
PFLU_0165	NC_012660.1	184234	185886	+	1653	245
PFLU_0166	NC_012660.1	186028	186597	+	570	51
PFLU_0167	NC_012660.1	186597	187187	+	591	15
PFLU_0170	NC_012660.1	189178	190401	+	1224	231
PFLU_0171	NC_012660.1	190401	192230	+	1830	199
PFLU_0172	NC_012660.1	192867	195038	+	2172	46
PFLU_0173	NC_012660.1	195687	196526	-	840	25
PFLU_0174	NC_012660.1	196628	199513	-	2886	93
PFLU_0175	NC_012660.1	199513	199782	-	270	28
PFLU_0176	NC_012660.1	199782	200063	-	282	24
PFLU_0177	NC_012660.1	200063	200545	-	483	57
PFLU_0178	NC_012660.1	200596	200940	-	345	28
PFLU_0179	NC_012660.1	201771	203003	-	1233	873
PFLU_0180	NC_012660.1	203618	205057	+	1440	3906
PFLU_0181	NC_012660.1	205246	206520	+	1275	1207
PFLU_0182	NC_012660.1	206663	207868	+	1206	199
PFLU_0183	NC_012660.1	207937	208941	-	1005	122
PFLU_0184	NC_012660.1	209127	210308	-	1182	584
PFLU_0185	NC_012660.1	210397	212382	+	1986	228
PFLU_0186	NC_012660.1	212687	212866	+	180	50
PFLU_0187	NC_012660.1	212944	213951	+	1008	107
PFLU_0188	NC_012660.1	214198	215013	+	816	52
PFLU_0189	NC_012660.1	215030	215899	+	870	76
PFLU_0190	NC_012660.1	215906	216883	+	978	151
PFLU_0191	NC_012660.1	216956	217480	-	525	275
PFLU_0192	NC_012660.1	217564	218247	+	684	403
PFLU_0193	NC_012660.1	218248	218655	-	408	83
PFLU_0194	NC_012660.1	218685	219155	-	471	22
PFLU_0196	NC_012660.1	219752	220753	-	1002	609
PFLU_0197	NC_012660.1	220855	221931	+	1077	135
PFLU_0198	NC_012660.1	221909	223516	-	1608	52
PFLU_0199	NC_012660.1	223536	224348	-	813	9
PFLU_0200	NC_012660.1	224348	225937	-	1590	50
PFLU_0201	NC_012660.1	226226	227224	+	999	12
PFLU_0202	NC_012660.1	227284	228201	-	918	37
PFLU_0203	NC_012660.1	228381	229283	+	903	17
PFLU_0204	NC_012660.1	229390	230994	-	1605	51
PFLU_0205	NC_012660.1	231098	232039	-	942	10
PFLU_0206	NC_012660.1	232195	234507	+	2313	30
PFLU_0207	NC_012660.1	234484	235668	-	1185	63
PFLU_0208	NC_012660.1	235777	236640	+	864	104
PFLU_0209	NC_012660.1	236868	237680	+	813	56
PFLU_0210	NC_012660.1	237738	238454	+	717	268
PFLU_0211	NC_012660.1	238459	238857	+	399	1412
PFLU_0213	NC_012660.1	239190	239768	+	579	231
PFLU_0214	NC_012660.1	239821	240738	+	918	47
PFLU_0215	NC_012660.1	240892	241671	+	780	104
PFLU_0218	NC_012660.1	242638	242928	-	291	1958
PFLU_0219	NC_012660.1	242919	243188	-	270	2679
PFLU_0227	NC_012660.1	246614	247276	+	663	19
PFLU_0228	NC_012660.1	247260	247916	+	657	10
PFLU_0229	NC_012660.1	247916	248689	+	774	6
PFLU_0230	NC_012660.1	248689	249540	+	852	15
PFLU_0231	NC_012660.1	249645	250802	-	1158	167
PFLU_0232	NC_012660.1	251059	252138	+	1080	138
PFLU_0233	NC_012660.1	252138	253205	+	1068	91
PFLU_0234	NC_012660.1	253205	256267	+	3063	286
PFLU_0235	NC_012660.1	256515	258689	+	2175	40
PFLU_0236	NC_012660.1	258812	259435	-	624	82
PFLU_0237	NC_012660.1	259479	260120	-	642	3
PFLU_0238	NC_012660.1	260113	261225	-	1113	20
PFLU_0239	NC_012660.1	261225	262037	-	813	34
PFLU_0240	NC_012660.1	262122	263471	-	1350	34
PFLU_0241	NC_012660.1	263474	264664	-	1191	21
PFLU_0242	NC_012660.1	264692	265930	-	1239	129
PFLU_0243	NC_012660.1	266121	266912	-	792	30
PFLU_0244	NC_012660.1	267260	268003	-	744	43
PFLU_0245	NC_012660.1	268010	268672	-	663	66
PFLU_0246	NC_012660.1	268675	269466	-	792	300
PFLU_0247	NC_012660.1	269749	270741	-	993	312
PFLU_0248	NC_012660.1	270878	271831	+	954	167
PFLU_0249	NC_012660.1	272192	274189	+	1998	145
PFLU_0250	NC_012660.1	274371	275723	+	1353	63
PFLU_0251	NC_012660.1	275835	276869	+	1035	215
PFLU_0252	NC_012660.1	276991	277824	-	834	31
PFLU_0253	NC_012660.1	277839	278672	-	834	27
PFLU_0254	NC_012660.1	278672	279448	-	777	87
PFLU_0255	NC_012660.1	279469	280443	-	975	60
PFLU_0256	NC_012660.1	280716	282296	-	1581	454
PFLU_0257	NC_012660.1	282514	282894	-	381	25
PFLU_0258	NC_012660.1	282897	285218	-	2322	987
PFLU_0259	NC_012660.1	285576	286313	+	738	424
PFLU_0260	NC_012660.1	286433	287743	+	1311	100
PFLU_0261	NC_012660.1	287820	288722	-	903	191
PFLU_0262	NC_012660.1	288722	289201	-	480	57
PFLU_0263	NC_012660.1	289218	289994	-	777	290
PFLU_0264	NC_012660.1	290111	290515	+	405	1569
PFLU_0265	NC_012660.1	290636	291436	-	801	481
PFLU_0266	NC_012660.1	291562	292461	+	900	257
PFLU_0267	NC_012660.1	292644	294182	+	1539	191
PFLU_0268	NC_012660.1	294198	294335	+	138	157
PFLU_0269	NC_012660.1	294473	295171	-	699	372
PFLU_0270	NC_012660.1	295462	296058	-	597	102
PFLU_0271	NC_012660.1	296061	296228	-	168	167
PFLU_0272	NC_012660.1	296405	297577	+	1173	232
PFLU_0274	NC_012660.1	297864	299804	+	1941	135
PFLU_0275	NC_012660.1	299936	300787	+	852	155
PFLU_0276	NC_012660.1	300852	301280	+	429	367
PFLU_0277	NC_012660.1	301509	301985	-	477	74
PFLU_0278	NC_012660.1	302356	304701	-	2346	2178
PFLU_0279	NC_012660.1	304701	305537	-	837	549
PFLU_0280	NC_012660.1	305638	306522	-	885	131
PFLU_0281	NC_012660.1	306655	307092	+	438	573
PFLU_0282	NC_012660.1	307144	307803	-	660	94
PFLU_0283	NC_012660.1	307891	308454	+	564	182
PFLU_0284	NC_012660.1	308454	309287	+	834	297
PFLU_0285	NC_012660.1	309360	309812	-	453	76
PFLU_0286	NC_012660.1	309842	311215	-	1374	152
PFLU_0287	NC_012660.1	311215	313020	-	1806	74
PFLU_0288	NC_012660.1	313060	313926	-	867	37
PFLU_0289	NC_012660.1	313926	314468	-	543	92
PFLU_0290	NC_012660.1	314468	315340	-	873	280
PFLU_0291	NC_012660.1	315340	316419	-	1080	258
PFLU_0292	NC_012660.1	316571	319477	+	2907	894
PFLU_0293	NC_012660.1	319602	320705	+	1104	143
PFLU_0294	NC_012660.1	320900	321154	+	255	475
PFLU_0295	NC_012660.1	321225	323309	-	2085	469
PFLU_0296	NC_012660.1	323721	325019	+	1299	500
PFLU_0299	NC_012660.1	326111	326515	+	405	50
PFLU_0300	NC_012660.1	327255	328286	+	1032	71
PFLU_0301	NC_012660.1	328286	330502	+	2217	95
PFLU_0302	NC_012660.1	330502	332766	+	2265	93
PFLU_0303	NC_012660.1	332766	333959	+	1194	92
PFLU_0304	NC_012660.1	333944	337780	+	3837	107
PFLU_0305	NC_012660.1	337800	338462	+	663	13
PFLU_0306	NC_012660.1	338465	339127	+	663	27
PFLU_0307	NC_012660.1	339148	340560	+	1413	13
PFLU_0308	NC_012660.1	340576	341697	+	1122	28
PFLU_0309	NC_012660.1	341763	342809	+	1047	221
PFLU_0310	NC_012660.1	343057	344244	-	1188	33
PFLU_0311	NC_012660.1	344225	344911	-	687	64
PFLU_0312	NC_012660.1	344914	345603	-	690	22
PFLU_0313	NC_012660.1	345681	346430	-	750	128
PFLU_0314	NC_012660.1	346447	347217	-	771	274
PFLU_0315	NC_012660.1	347772	349160	+	1389	2824
PFLU_0316	NC_012660.1	349285	349695	-	411	138
PFLU_0317	NC_012660.1	349702	350652	-	951	43
PFLU_0318	NC_012660.1	350826	351788	+	963	72
PFLU_0319	NC_012660.1	351879	353468	+	1590	211
PFLU_0320	NC_012660.1	353561	353833	+	273	115
PFLU_0321	NC_012660.1	353986	354540	+	555	123
PFLU_0322	NC_012660.1	354812	355081	-	270	26
PFLU_0323	NC_012660.1	355081	356145	-	1065	151
PFLU_0324	NC_012660.1	356145	358352	-	2208	559
PFLU_0325	NC_012660.1	358677	360335	+	1659	202
PFLU_0327	NC_012660.1	360640	361230	+	591	176
PFLU_0328	NC_012660.1	361233	361868	+	636	127
PFLU_0329	NC_012660.1	361872	362126	+	255	21
PFLU_0330	NC_012660.1	362169	362903	+	735	66
PFLU_0331	NC_012660.1	362916	363683	+	768	100
PFLU_0332	NC_012660.1	363753	364505	+	753	30
PFLU_0333	NC_012660.1	364515	366104	-	1590	86
PFLU_0334	NC_012660.1	366169	366954	-	786	22
PFLU_0335	NC_012660.1	366959	368272	-	1314	328
PFLU_0336	NC_012660.1	368306	369598	-	1293	207
PFLU_0337	NC_012660.1	369799	371322	-	1524	317
PFLU_0338	NC_012660.1	371471	371884	+	414	51
PFLU_0339	NC_012660.1	371889	372140	+	252	26
PFLU_0340	NC_012660.1	372183	372659	+	477	48
PFLU_0341	NC_012660.1	372785	373237	-	453	118
PFLU_0342	NC_012660.1	373236	373673	+	438	76
PFLU_0343	NC_012660.1	374212	375645	-	1434	165
PFLU_0344	NC_012660.1	375645	376727	-	1083	135
PFLU_0345	NC_012660.1	377026	377448	-	423	4
PFLU_0346	NC_012660.1	377529	378062	-	534	38
PFLU_0347	NC_012660.1	378511	378744	+	234	11
PFLU_0348	NC_012660.1	378827	380230	-	1404	404
PFLU_0349	NC_012660.1	380565	382016	+	1452	751
PFLU_0350	NC_012660.1	382159	383976	+	1818	716
PFLU_0351	NC_012660.1	384209	384640	-	432	6
PFLU_0352	NC_012660.1	384880	387327	+	2448	579
PFLU_0353	NC_012660.1	387490	391011	+	3522	187
PFLU_0354	NC_012660.1	391011	392363	+	1353	48
PFLU_0355	NC_012660.1	392475	393482	+	1008	375
PFLU_0356	NC_012660.1	393662	393913	+	252	170
PFLU_0357	NC_012660.1	393947	394513	+	567	455
PFLU_0358	NC_012660.1	394649	396010	-	1362	669
PFLU_0359	NC_012660.1	396119	396865	+	747	68
PFLU_0360	NC_012660.1	396865	397422	+	558	34
PFLU_0361	NC_012660.1	397832	399499	+	1668	742
PFLU_0362	NC_012660.1	399581	401023	+	1443	261
PFLU_0363	NC_012660.1	401096	402058	+	963	289
PFLU_0364	NC_012660.1	402133	402981	+	849	1197
PFLU_0365	NC_012660.1	402981	403802	+	822	299
PFLU_0366	NC_012660.1	403943	405454	+	1512	294
PFLU_0367	NC_012660.1	405504	407039	+	1536	167
PFLU_0368	NC_012660.1	407244	408650	+	1407	110
PFLU_0369	NC_012660.1	408666	409871	+	1206	57
PFLU_0370	NC_012660.1	409887	410684	+	798	72
PFLU_0371	NC_012660.1	411002	411970	+	969	395
PFLU_0372	NC_012660.1	411970	412404	+	435	191
PFLU_0373	NC_012660.1	412735	414408	+	1674	525
PFLU_0374	NC_012660.1	414404	416971	+	2568	424
PFLU_0375	NC_012660.1	417160	417957	+	798	9
PFLU_0376	NC_012660.1	418175	418975	+	801	47
PFLU_0377	NC_012660.1	419016	419972	+	957	95
PFLU_0378	NC_012660.1	419968	420699	+	732	28
PFLU_0379	NC_012660.1	420899	422803	-	1905	99
PFLU_0380	NC_012660.1	422934	424847	-	1914	339
PFLU_0381	NC_012660.1	424958	425662	-	705	93
PFLU_0382	NC_012660.1	425662	426450	-	789	135
PFLU_0383	NC_012660.1	426450	426851	-	402	129
PFLU_0384	NC_012660.1	426865	427140	-	276	219
PFLU_0385	NC_012660.1	427169	427498	-	330	224
PFLU_0386	NC_012660.1	427504	427893	-	390	599
PFLU_0387	NC_012660.1	427938	429539	-	1602	94
PFLU_0388	NC_012660.1	429539	430159	-	621	52
PFLU_0389	NC_012660.1	430162	430929	-	768	294
PFLU_0390	NC_012660.1	431074	431346	+	273	55
PFLU_0391	NC_012660.1	431455	431874	+	420	255
PFLU_0392	NC_012660.1	431890	432834	+	945	1225
PFLU_0393	NC_012660.1	432889	433509	-	621	74
PFLU_0394	NC_012660.1	433540	435219	-	1680	162
PFLU_0395	NC_012660.1	435311	436153	-	843	146
PFLU_0396	NC_012660.1	436302	437978	-	1677	428
PFLU_0397	NC_012660.1	438231	438605	-	375	19
PFLU_0398	NC_012660.1	438757	440091	-	1335	75
PFLU_0399	NC_012660.1	440132	440659	-	528	48
PFLU_0400	NC_012660.1	440920	441618	-	699	65
PFLU_0401	NC_012660.1	441623	443356	-	1734	207
PFLU_0402	NC_012660.1	443579	445795	-	2217	213
PFLU_0403	NC_012660.1	446022	446252	+	231	202
PFLU_0404	NC_012660.1	446288	447073	+	786	48
PFLU_0405	NC_012660.1	447258	448523	+	1266	276
PFLU_0406	NC_012660.1	448744	451203	-	2460	202
PFLU_0408	NC_012660.1	452071	452622	+	552	614
PFLU_0409	NC_012660.1	452622	453584	+	963	41
PFLU_0411	NC_012660.1	454987	455502	+	516	688
PFLU_0412	NC_012660.1	455631	456728	+	1098	611
PFLU_0413	NC_012660.1	456741	458291	+	1551	998
PFLU_0414	NC_012660.1	458646	463088	+	4443	803
PFLU_0415	NC_012660.1	463124	464539	+	1416	222
PFLU_0416	NC_012660.1	464786	465850	+	1065	90
PFLU_0417	NC_012660.1	465977	467248	-	1272	113
PFLU_0418	NC_012660.1	467373	468263	+	891	43
PFLU_0419	NC_012660.1	468442	468882	-	441	14
PFLU_0420	NC_012660.1	468912	470135	-	1224	119
PFLU_0421	NC_012660.1	470138	470863	-	726	101
PFLU_0422	NC_012660.1	470863	471321	-	459	39
PFLU_0423	NC_012660.1	471321	472484	-	1164	19
PFLU_0424	NC_012660.1	472484	472963	-	480	8
PFLU_0425	NC_012660.1	472963	473709	-	747	19
PFLU_0426	NC_012660.1	473709	474953	-	1245	75
PFLU_0427	NC_012660.1	474990	477299	-	2310	65
PFLU_0428	NC_012660.1	477292	477861	-	570	13
PFLU_0429	NC_012660.1	477990	478412	-	423	26
PFLU_0430	NC_012660.1	478408	479946	-	1539	51
PFLU_0433	NC_012660.1	481749	483416	-	1668	41
PFLU_0434	NC_012660.1	483416	483958	-	543	40
PFLU_0435	NC_012660.1	483958	484209	-	252	25
PFLU_0436	NC_012660.1	484222	484488	-	267	38
PFLU_0437	NC_012660.1	484469	485278	-	810	153
PFLU_0438	NC_012660.1	485257	485973	-	717	49
PFLU_0439	NC_012660.1	486322	487089	+	768	260
PFLU_0440	NC_012660.1	487489	487707	+	219	15
PFLU_0441	NC_012660.1	487761	488192	-	432	51
PFLU_0442	NC_012660.1	488429	488722	+	294	2052
PFLU_0443	NC_012660.1	488722	489120	+	399	1047
PFLU_0444	NC_012660.1	489131	490591	-	1461	945
PFLU_0445	NC_012660.1	490643	494023	-	3381	271
PFLU_0446	NC_012660.1	494077	495816	-	1740	816
PFLU_0447	NC_012660.1	496154	497776	-	1623	82
PFLU_0448	NC_012660.1	498054	498281	+	228	36
PFLU_0449	NC_012660.1	498281	498571	+	291	36
PFLU_0450	NC_012660.1	498574	500373	-	1800	133
PFLU_0451	NC_012660.1	500581	504531	-	3951	569
PFLU_0452	NC_012660.1	504992	506473	+	1482	868
PFLU_0453	NC_012660.1	506681	508702	+	2022	90
PFLU_0454	NC_012660.1	508715	509401	+	687	19
PFLU_0455	NC_012660.1	509393	510667	-	1275	111
PFLU_0456	NC_012660.1	510841	511674	+	834	57
PFLU_0457	NC_012660.1	511841	512485	-	645	551
PFLU_0458	NC_012660.1	512562	515243	-	2682	620
PFLU_0459	NC_012660.1	515562	517208	-	1647	743
PFLU_0460	NC_012660.1	517223	519865	-	2643	950
PFLU_0461	NC_012660.1	520249	523185	+	2937	773
PFLU_0462	NC_012660.1	523243	524274	+	1032	152
PFLU_0463	NC_012660.1	524279	525337	+	1059	50
PFLU_0464	NC_012660.1	525340	526461	+	1122	66
PFLU_0465	NC_012660.1	526461	527264	+	804	26
PFLU_0466	NC_012660.1	527267	527998	+	732	77
PFLU_0467	NC_012660.1	527998	528747	+	750	24
PFLU_0468	NC_012660.1	528750	530198	+	1449	48
PFLU_0469	NC_012660.1	530588	531565	+	978	34
PFLU_0471	NC_012660.1	531878	532801	+	924	22
PFLU_0472	NC_012660.1	532814	534199	-	1386	38
PFLU_0473	NC_012660.1	534278	536380	-	2103	59
PFLU_0474	NC_012660.1	536553	536927	+	375	70
PFLU_0475	NC_012660.1	537073	538827	+	1755	371
PFLU_0476	NC_012660.1	538831	539724	+	894	84
PFLU_0477	NC_012660.1	539697	541121	+	1425	193
PFLU_0478	NC_012660.1	541184	542329	+	1146	259
PFLU_0479	NC_012660.1	542329	543207	+	879	74
PFLU_0480	NC_012660.1	543268	545220	-	1953	176
PFLU_0481	NC_012660.1	545287	547089	+	1803	286
PFLU_0482	NC_012660.1	547362	548783	+	1422	302
PFLU_0483	NC_012660.1	548779	549702	+	924	130
PFLU_0485	NC_012660.1	550483	551439	-	957	102
PFLU_0486	NC_012660.1	551484	552293	-	810	297
PFLU_0487	NC_012660.1	552293	553465	-	1173	221
PFLU_0488	NC_012660.1	553524	553856	-	333	22
PFLU_0489	NC_012660.1	553959	554846	+	888	47
PFLU_0490	NC_012660.1	554873	556147	+	1275	119
PFLU_0491	NC_012660.1	556276	557712	-	1437	123
PFLU_0492	NC_012660.1	558161	560062	+	1902	510
PFLU_0493	NC_012660.1	560228	561514	+	1287	106
PFLU_0494	NC_012660.1	561489	562232	-	744	249
PFLU_0495	NC_012660.1	562426	563040	+	615	354
PFLU_0496	NC_012660.1	563034	563480	+	447	270
PFLU_0497	NC_012660.1	563600	564394	+	795	466
PFLU_0498	NC_012660.1	564604	565209	+	606	203
PFLU_0499	NC_012660.1	565258	567159	+	1902	318
PFLU_0500	NC_012660.1	567162	568154	+	993	86
PFLU_0501	NC_012660.1	568231	570492	+	2262	1381
PFLU_0502	NC_012660.1	570669	571379	+	711	1434
PFLU_0503	NC_012660.1	571509	573035	-	1527	272
PFLU_0504	NC_012660.1	573169	574380	+	1212	228
PFLU_0505	NC_012660.1	574509	575366	-	858	144
PFLU_0506	NC_012660.1	575386	576198	-	813	124
PFLU_0507	NC_012660.1	576259	577791	-	1533	463
PFLU_0508	NC_012660.1	577958	578806	+	849	115
PFLU_0509	NC_012660.1	578813	579829	+	1017	148
PFLU_0510	NC_012660.1	579899	580291	-	393	81
PFLU_0511	NC_012660.1	580581	581609	-	1029	59
PFLU_0512	NC_012660.1	581718	582257	+	540	138
PFLU_0513	NC_012660.1	582444	583055	+	612	51
