Locus Tag,Locus_Tag,Gene Name,Product Description,GO Term
PFLU0066,PFLU_0066,PFLU_0066,protoheme IX farnesyltransferase,protoheme IX farnesyltransferase activity
PFLU0066,PFLU_0066,PFLU_0066,protoheme IX farnesyltransferase,integral component of membrane
PFLU0066,PFLU_0066,PFLU_0066,protoheme IX farnesyltransferase,heme O biosynthetic process
PFLU0066,PFLU_0066,PFLU_0066,protoheme IX farnesyltransferase,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
PFLU0067,PFLU_0067,scoP,putative copper-binding protein,cell redox homeostasis
PFLU0069,PFLU_0069,metI,D-methionine ABC transporter permease,membrane
PFLU0069,PFLU_0069,metI,D-methionine ABC transporter permease,transmembrane transport
PFLU0070,PFLU_0070,metN,DL-methionine transporter ATP-binding subunit,ATP binding
PFLU0070,PFLU_0070,metN,DL-methionine transporter ATP-binding subunit,ATPase activity
PFLU0071,PFLU_0071,katE,hydroperoxidase II,heme binding
PFLU0071,PFLU_0071,katE,hydroperoxidase II,oxidation-reduction process
PFLU0071,PFLU_0071,katE,hydroperoxidase II,catalase activity
PFLU0071,PFLU_0071,katE,hydroperoxidase II,response to oxidative stress
PFLU0073,PFLU_0073,znuB,high-affinity zinc ABC transporter membrane protein,integral component of plasma membrane
PFLU0073,PFLU_0073,znuB,high-affinity zinc ABC transporter membrane protein,ATPase-coupled transmembrane transporter activity
PFLU0073,PFLU_0073,znuB,high-affinity zinc ABC transporter membrane protein,ATP-binding cassette (ABC) transporter complex
PFLU0073,PFLU_0073,znuB,high-affinity zinc ABC transporter membrane protein,transmembrane transport
PFLU0074,PFLU_0074,znuC,high-affinity zinc ABC transporter ATP-binding protein,ATP binding
PFLU0074,PFLU_0074,znuC,high-affinity zinc ABC transporter ATP-binding protein,ATPase activity
PFLU0074,PFLU_0074,znuC,high-affinity zinc ABC transporter ATP-binding protein,plasma membrane
PFLU0074,PFLU_0074,znuC,high-affinity zinc ABC transporter ATP-binding protein,zinc ion transport
PFLU0074,PFLU_0074,znuC,high-affinity zinc ABC transporter ATP-binding protein,ATPase-coupled zinc transmembrane transporter activity
PFLU0075,PFLU_0075,PFLU_0075,putative zinc transporter-like regulatory protein,DNA-binding transcription factor activity
PFLU0075,PFLU_0075,PFLU_0075,putative zinc transporter-like regulatory protein,"regulation of transcription, DNA-templated"
PFLU0076,PFLU_0076,PFLU_0076,putative zinc ABC transporter substrate-binding protein,cell adhesion
PFLU0076,PFLU_0076,PFLU_0076,putative zinc ABC transporter substrate-binding protein,zinc ion transport
PFLU0076,PFLU_0076,PFLU_0076,putative zinc ABC transporter substrate-binding protein,metal ion binding
PFLU0076,PFLU_0076,PFLU_0076,putative zinc ABC transporter substrate-binding protein,metal ion transport
PFLU0077,PFLU_0077,thrB,homoserine kinase,homoserine kinase activity
PFLU0077,PFLU_0077,thrB,homoserine kinase,threonine biosynthetic process
PFLU0079,PFLU_0079,polA,DNA polymerase I,DNA-directed DNA polymerase activity
PFLU0079,PFLU_0079,polA,DNA polymerase I,DNA replication
PFLU0079,PFLU_0079,polA,DNA polymerase I,DNA-dependent DNA replication
PFLU0079,PFLU_0079,polA,DNA polymerase I,DNA binding
PFLU0079,PFLU_0079,polA,DNA polymerase I,catalytic activity
PFLU0079,PFLU_0079,polA,DNA polymerase I,nucleic acid binding
PFLU0079,PFLU_0079,polA,DNA polymerase I,nucleobase-containing compound metabolic process
PFLU0079,PFLU_0079,polA,DNA polymerase I,3'-5' exonuclease activity
PFLU0080,PFLU_0080,engB,ribosome biogenesis GTP-binding protein YsxC,GTP binding
PFLU0081,PFLU_0081,PFLU_0081,putative cytochrome c5,iron ion binding
PFLU0081,PFLU_0081,PFLU_0081,putative cytochrome c5,electron transfer activity
PFLU0081,PFLU_0081,PFLU_0081,putative cytochrome c5,heme binding
PFLU0082,PFLU_0082,cycA,cytochrome c4,electron transfer activity
PFLU0082,PFLU_0082,cycA,cytochrome c4,heme binding
PFLU0082,PFLU_0082,cycA,cytochrome c4,iron ion binding
PFLU0082,PFLU_0082,cycA,cytochrome c4,periplasmic space
PFLU0083,PFLU_0083,dsbA,thiol:disulfide interchange protein,protein disulfide oxidoreductase activity
PFLU0083,PFLU_0083,dsbA,thiol:disulfide interchange protein,cell redox homeostasis
PFLU0086,PFLU_0086,PFLU_0086,putative membrane-bound N-acetylmuramoyl-L-alanine amidase,N-acetylmuramoyl-L-alanine amidase activity
PFLU0086,PFLU_0086,PFLU_0086,putative membrane-bound N-acetylmuramoyl-L-alanine amidase,peptidoglycan catabolic process
PFLU0087,PFLU_0087,PFLU_0087,putative two-component system sensor kinase,phosphorelay sensor kinase activity
PFLU0087,PFLU_0087,PFLU_0087,putative two-component system sensor kinase,signal transduction
PFLU0087,PFLU_0087,PFLU_0087,putative two-component system sensor kinase,integral component of membrane
PFLU0087,PFLU_0087,PFLU_0087,putative two-component system sensor kinase,phosphorylation
PFLU0087,PFLU_0087,PFLU_0087,putative two-component system sensor kinase,"transferase activity, transferring phosphorus-containing groups"
PFLU0088,PFLU_0088,algB,alginate biosynthesis transcriptional regulatory protein,phosphorelay signal transduction system
PFLU0088,PFLU_0088,algB,alginate biosynthesis transcriptional regulatory protein,ATP binding
PFLU0088,PFLU_0088,algB,alginate biosynthesis transcriptional regulatory protein,"regulation of transcription, DNA-templated"
PFLU0088,PFLU_0088,algB,alginate biosynthesis transcriptional regulatory protein,transcription factor binding
PFLU0088,PFLU_0088,algB,alginate biosynthesis transcriptional regulatory protein,sequence-specific DNA binding
PFLU0088,PFLU_0088,algB,alginate biosynthesis transcriptional regulatory protein,DNA binding
PFLU0090,PFLU_0090,PFLU_0090,hypothetical protein,plasma membrane
PFLU0091,PFLU_0091,PFLU_0091,hypothetical protein,periplasmic space
PFLU0091,PFLU_0091,PFLU_0091,hypothetical protein,negative regulation of catalytic activity
PFLU0093,PFLU_0093,gltP,glutamate/aspartate:proton symporter,symporter activity
PFLU0093,PFLU_0093,gltP,glutamate/aspartate:proton symporter,integral component of membrane
PFLU0093,PFLU_0093,gltP,glutamate/aspartate:proton symporter,dicarboxylic acid transport
PFLU0097,PFLU_0097,PFLU_0097,putative ABC transporter ATP-binding protein,ATP binding
PFLU0097,PFLU_0097,PFLU_0097,putative ABC transporter ATP-binding protein,ATPase activity
PFLU0098,PFLU_0098,PFLU_0098,putative ABC transporter permease,ATP-binding cassette (ABC) transporter complex
PFLU0100,PFLU_0100,PFLU_0100,putative membrane-bound peptidase,catalytic activity
PFLU0100,PFLU_0100,PFLU_0100,putative membrane-bound peptidase,metal ion binding
PFLU0101,PFLU_0101,PFLU_0101,putative cation transporter-like membrane protein,null
PFLU0101,PFLU_0101,PFLU_0101,putative cation transporter-like membrane protein,membrane
PFLU0101,PFLU_0101,PFLU_0101,putative cation transporter-like membrane protein,sodium-dependent phosphate transport
PFLU0102,PFLU_0102,PFLU_0102,hypothetical protein,integral component of membrane
PFLU0103,PFLU_0103,PFLU_0103,"putative anion transporter, permease",integral component of membrane
PFLU0103,PFLU_0103,PFLU_0103,"putative anion transporter, permease",transmembrane transport
PFLU0103,PFLU_0103,PFLU_0103,"putative anion transporter, permease",citrate transmembrane transporter activity
PFLU0103,PFLU_0103,PFLU_0103,"putative anion transporter, permease",citrate transport
PFLU0110,PFLU_0110,PFLU_0110,putative hydrolase,acetyl-CoA metabolic process
PFLU0110,PFLU_0110,PFLU_0110,putative hydrolase,transferase activity
PFLU0110,PFLU_0110,PFLU_0110,putative hydrolase,acetyl-CoA hydrolase activity
PFLU0110,PFLU_0110,PFLU_0110,putative hydrolase,acetate metabolic process
PFLU0110,PFLU_0110,PFLU_0110,putative hydrolase,acetate CoA-transferase activity
PFLU0110,PFLU_0110,PFLU_0110,putative hydrolase,"propionate metabolic process, methylcitrate cycle"
PFLU0111,PFLU_0111,pntB,NAD(P) transhydrogenase subunit beta,NAD(P)+ transhydrogenase (AB-specific) activity
PFLU0111,PFLU_0111,pntB,NAD(P) transhydrogenase subunit beta,integral component of membrane
PFLU0111,PFLU_0111,pntB,NAD(P) transhydrogenase subunit beta,NADP binding
PFLU0111,PFLU_0111,pntB,NAD(P) transhydrogenase subunit beta,oxidation-reduction process
PFLU0112,PFLU_0112,PFLU_0112,putative NAD(P) transhydrogenase subunit alpha 2,
PFLU0114,PFLU_0114,PFLU_0114,LysR family transcriptional regulator,DNA-binding transcription factor activity
PFLU0114,PFLU_0114,PFLU_0114,LysR family transcriptional regulator,"regulation of transcription, DNA-templated"
PFLU0115,PFLU_0115,PFLU_0115,putative acyl-CoA dehydrogenase,"oxidoreductase activity, acting on the CH-CH group of donors"
PFLU0115,PFLU_0115,PFLU_0115,putative acyl-CoA dehydrogenase,oxidation-reduction process
PFLU0115,PFLU_0115,PFLU_0115,putative acyl-CoA dehydrogenase,flavin adenine dinucleotide binding
PFLU0115,PFLU_0115,PFLU_0115,putative acyl-CoA dehydrogenase,acyl-CoA dehydrogenase activity
PFLU0116,PFLU_0116,PFLU_0116,putative CoA-transferase,CoA-transferase activity
PFLU0117,PFLU_0117,PFLU_0117,putative methyl-accepting chemotaxis protein,signal transduction
PFLU0117,PFLU_0117,PFLU_0117,putative methyl-accepting chemotaxis protein,membrane
PFLU0117,PFLU_0117,PFLU_0117,putative methyl-accepting chemotaxis protein,integral component of membrane
PFLU0119,PFLU_0119,PFLU_0119,putative amino acid activating peptide synthase domain,catalytic activity
PFLU0119,PFLU_0119,PFLU_0119,putative amino acid activating peptide synthase domain,phosphopantetheine binding
PFLU0120,PFLU_0120,PFLU_0120,hypothetical protein,oxidoreductase activity
PFLU0120,PFLU_0120,PFLU_0120,hypothetical protein,oxidation-reduction process
PFLU0122,PFLU_0122,PFLU_0122,GntR family transcriptional regulator,DNA-binding transcription factor activity
PFLU0122,PFLU_0122,PFLU_0122,GntR family transcriptional regulator,"regulation of transcription, DNA-templated"
PFLU0123,PFLU_0123,PFLU_0123,putative taurine catabolism dioxygenase,oxidoreductase activity
PFLU0123,PFLU_0123,PFLU_0123,putative taurine catabolism dioxygenase,oxidation-reduction process
PFLU0125,PFLU_0125,PFLU_0125,putative ABC transporter ATP-binding protein,ATP binding
PFLU0125,PFLU_0125,PFLU_0125,putative ABC transporter ATP-binding protein,ATPase activity
PFLU0126,PFLU_0126,PFLU_0126,putative ABC transporter permease,membrane
PFLU0126,PFLU_0126,PFLU_0126,putative ABC transporter permease,transmembrane transport
PFLU0127,PFLU_0127,PFLU_0127,hypothetical protein,transmembrane transport
PFLU0128,PFLU_0128,PFLU_0128,LysR family transcriptional regulator,DNA-binding transcription factor activity
PFLU0128,PFLU_0128,PFLU_0128,LysR family transcriptional regulator,"regulation of transcription, DNA-templated"
PFLU0129,PFLU_0129,PFLU_0129,putative ABC transporter permease,integral component of plasma membrane
PFLU0129,PFLU_0129,PFLU_0129,putative ABC transporter permease,transmembrane transport
PFLU0130,PFLU_0130,PFLU_0130,putative ABC transporter lipoprotein,membrane
PFLU0130,PFLU_0130,PFLU_0130,putative ABC transporter lipoprotein,transmembrane transporter activity
PFLU0130,PFLU_0130,PFLU_0130,putative ABC transporter lipoprotein,transmembrane transport
PFLU0131,PFLU_0131,PFLU_0131,putative ABC transporter lipoprotein,membrane
PFLU0131,PFLU_0131,PFLU_0131,putative ABC transporter lipoprotein,transmembrane transporter activity
PFLU0131,PFLU_0131,PFLU_0131,putative ABC transporter lipoprotein,transmembrane transport
PFLU0131,PFLU_0131,PFLU_0131,putative ABC transporter lipoprotein,efflux transmembrane transporter activity
PFLU0136,PFLU_0136,PFLU_0136,putative MarR family regulatory protein,DNA-binding transcription factor activity
PFLU0136,PFLU_0136,PFLU_0136,putative MarR family regulatory protein,"regulation of transcription, DNA-templated"
PFLU0137,PFLU_0137,PFLU_0137,hypothetical protein,plasma membrane
PFLU0137,PFLU_0137,PFLU_0137,hypothetical protein,transmembrane transporter activity
PFLU0137,PFLU_0137,PFLU_0137,hypothetical protein,transmembrane transport
PFLU0139,PFLU_0139,PFLU_0139,hypothetical protein,membrane
PFLU0139,PFLU_0139,PFLU_0139,hypothetical protein,transmembrane transporter activity
PFLU0139,PFLU_0139,PFLU_0139,hypothetical protein,transmembrane transport
PFLU0140,PFLU_0140,PFLU_0140,putative lipoprotein,membrane
PFLU0140,PFLU_0140,PFLU_0140,putative lipoprotein,transmembrane transporter activity
PFLU0140,PFLU_0140,PFLU_0140,putative lipoprotein,transmembrane transport
PFLU0140,PFLU_0140,PFLU_0140,putative lipoprotein,efflux transmembrane transporter activity
PFLU0143,PFLU_0143,pgaA,outer membrane protein PgaA,protein binding
PFLU0143,PFLU_0143,pgaA,outer membrane protein PgaA,"poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity"
PFLU0144,PFLU_0144,pgaB,outer membrane N-deacetylase,carbohydrate metabolic process
PFLU0144,PFLU_0144,pgaB,outer membrane N-deacetylase,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
